,num_Engine_Load_Percent,num_Diesel_Energy_Share,num_Injection_Timing,num_Fuel_Injection_Pressure,num_EGR_Rate,num_Boost_Pressure,num_Intake_Temperature,num_Equivalence_Ratio,num_Cylinder_Pressure_Peak,num_Combustion_Duration,num_Gasoline_Energy_Share,num_BSFC,num_NOx_Emissions,num_Soot_Emissions,num_CO_Emissions,num_Gross_Indicated_Thermal_Efficiency,num_Combustion_Stability_Index,num_Target_Score,cat_Engine_Load_Percent,cat_Diesel_Energy_Share,cat_Injection_Timing,cat_Fuel_Injection_Pressure,cat_EGR_Rate,cat_Boost_Pressure,cat_Intake_Temperature,cat_Equivalence_Ratio,cat_Cylinder_Pressure_Peak,cat_Combustion_Duration,cat_Gasoline_Energy_Share,cat_BSFC,cat_NOx_Emissions,cat_Soot_Emissions,cat_CO_Emissions,cat_Gross_Indicated_Thermal_Efficiency,cat_Combustion_Stability_Index,cat_Target_Score
num_Engine_Load_Percent,1.0,0.022484851132288326,-0.02375734651708022,0.018185544302374988,-0.06648209654022784,-0.01211251269995716,0.05058270872307515,-0.007507968830866644,-0.009425954945989917,-0.024525997873824396,-0.022484851132288302,-0.7940904581531031,0.020655748407669892,-0.006354279827378435,-0.01417381291714445,0.9037165606158498,-0.020760200066537476,0.3304683415142007,1.0,0.022484851132288326,-0.02375734651708022,0.018185544302374988,-0.06648209654022784,-0.01211251269995716,0.05058270872307515,-0.007507968830866644,-0.009425954945989917,-0.024525997873824396,-0.022484851132288302,-0.7940904581531031,0.020655748407669892,-0.006354279827378435,-0.01417381291714445,0.9037165606158498,-0.020760200066537476,0.3304683415142007
num_Diesel_Energy_Share,0.022484851132288326,1.0,0.019193860622293852,-0.020133729152231876,-0.010188326584798714,0.002877878903477998,0.008134927113278933,0.015335753712539792,-0.014212270350750676,-0.010747441234643388,-1.0,-0.050217180562550735,-0.014284649754743977,-0.014782102362454634,-0.018888990975859048,0.010615541947213916,0.012224795375922314,0.0352584045774281,0.022484851132288333,1.0,0.019193860622293852,-0.020133729152231876,-0.010188326584798714,0.002877878903477998,0.008134927113278933,0.015335753712539792,-0.014212270350750676,-0.010747441234643388,-1.0,-0.050217180562550735,-0.014284649754743977,-0.014782102362454634,-0.018888990975859048,0.010615541947213916,0.012224795375922314,0.0352584045774281
num_Injection_Timing,-0.02375734651708022,0.019193860622293852,1.0,-0.03548127948696684,0.029267337164888347,-0.033365544941668906,0.011661870505086018,0.0072045766105992785,0.032466732135754614,0.007170282407465604,-0.01919386062229384,0.010141120010097975,-0.035377962666631846,0.023515970608470972,0.0018918742237807957,-0.05057755506701769,0.0349036990547188,-0.02065358608831655,-0.02375734651708022,0.01919386062229385,1.0,-0.03548127948696684,0.029267337164888347,-0.033365544941668906,0.011661870505086018,0.0072045766105992785,0.032466732135754614,0.007170282407465604,-0.01919386062229384,0.010141120010097975,-0.035377962666631846,0.023515970608470972,0.0018918742237807957,-0.05057755506701769,0.0349036990547188,-0.02065358608831655
num_Fuel_Injection_Pressure,0.018185544302374988,-0.020133729152231876,-0.03548127948696684,1.0,-0.03967149260345005,-0.006453641849754895,-0.0022895394471663714,0.0013356556987753256,0.010835143538081581,0.05821601584553662,0.020133729152231862,-0.025814587291065054,0.9917230376688457,-0.020343702916693445,0.02526342082517449,0.02180765662508949,-0.04769734935050237,-0.3785567088307593,0.01818554430237499,-0.02013372915223185,-0.03548127948696687,1.0,-0.03967149260345005,-0.006453641849754895,-0.0022895394471663714,0.0013356556987753256,0.010835143538081581,0.05821601584553662,0.020133729152231862,-0.025814587291065054,0.9917230376688457,-0.020343702916693445,0.02526342082517449,0.02180765662508949,-0.04769734935050237,-0.3785567088307593
num_EGR_Rate,-0.06648209654022784,-0.010188326584798714,0.029267337164888347,-0.03967149260345005,1.0,0.004542235219410206,-0.002131243932651948,0.05828265325506296,0.0024005663809524894,-0.01242106435044079,0.010188326584798702,0.04693463299063928,-0.04758620454653949,0.016927013390616984,-0.037682093749357014,-0.05857459821019615,-0.04276866284940102,-0.0032821737197874234,-0.06648209654022785,-0.0101883265847987,0.029267337164888333,-0.039671492603450036,1.0,0.004542235219410206,-0.002131243932651948,0.05828265325506296,0.0024005663809524894,-0.01242106435044079,0.010188326584798702,0.04693463299063928,-0.04758620454653949,0.016927013390616984,-0.037682093749357014,-0.05857459821019615,-0.04276866284940102,-0.0032821737197874234
num_Boost_Pressure,-0.01211251269995716,0.002877878903477998,-0.033365544941668906,-0.006453641849754895,0.004542235219410206,1.0,0.014052040008426987,-0.014550758293570247,0.00690121076878989,0.014941364108556036,-0.0028778789034779907,0.01696970706328012,-0.009988018931946488,0.0025877636485438257,-0.006042079614123559,-0.024010595901498708,-0.01939628973762062,0.0004591906343370173,-0.01211251269995717,0.002877878903477983,-0.03336554494166894,-0.0064536418497549266,0.004542235219410248,1.0,0.014052040008426987,-0.014550758293570247,0.00690121076878989,0.014941364108556036,-0.0028778789034779907,0.01696970706328012,-0.009988018931946488,0.0025877636485438257,-0.006042079614123559,-0.024010595901498708,-0.01939628973762062,0.0004591906343370173
num_Intake_Temperature,0.05058270872307515,0.008134927113278933,0.011661870505086018,-0.0022895394471663714,-0.002131243932651948,0.014052040008426987,1.0,-0.03680876806398588,0.012624622936597782,0.038727318122898285,-0.00813492711327896,-0.06706770335675166,-0.00018648091055737032,0.0017765364145420606,0.05021729386704063,0.04523844899152739,0.029344219251825617,-0.0045637990477363135,0.05058270872307525,0.008134927113278966,0.01166187050508603,-0.0022895394471664724,-0.0021312439326519484,0.014052040008426978,1.0,-0.03680876806398588,0.012624622936597782,0.038727318122898285,-0.00813492711327896,-0.06706770335675166,-0.00018648091055737032,0.0017765364145420606,0.05021729386704063,0.04523844899152739,0.029344219251825617,-0.0045637990477363135
num_Equivalence_Ratio,-0.007507968830866644,0.015335753712539792,0.0072045766105992785,0.0013356556987753256,0.05828265325506296,-0.014550758293570247,-0.03680876806398588,1.0,0.01971015933225165,-0.0213982735948592,-0.015335753712539816,0.01026756143484734,0.006881651665592571,-0.018298913105397652,-0.005297041638972467,0.005597378574587222,-0.004797665714375473,0.010784466407445384,-0.007507968830866633,0.015335753712539792,0.007204576610599285,0.0013356556987753278,0.058282653255062926,-0.014550758293570278,-0.03680876806398583,1.0,0.01971015933225165,-0.0213982735948592,-0.015335753712539816,0.01026756143484734,0.006881651665592571,-0.018298913105397652,-0.005297041638972467,0.005597378574587222,-0.004797665714375473,0.010784466407445384
num_Cylinder_Pressure_Peak,-0.009425954945989917,-0.014212270350750676,0.032466732135754614,0.010835143538081581,0.0024005663809524894,0.00690121076878989,0.012624622936597782,0.01971015933225165,1.0,-0.02084776153729881,0.014212270350750655,0.009054402023666678,0.010394323326419146,0.03352320502928536,-0.0030912740205630922,-0.007611152360156032,0.01580675738104348,-0.03246979693720215,-0.009425954945989936,-0.014212270350750664,0.032466732135754635,0.010835143538081588,0.002400566380952489,0.0069012107687899,0.012624622936597787,0.019710159332251672,1.0,-0.02084776153729881,0.014212270350750655,0.009054402023666678,0.010394323326419146,0.03352320502928536,-0.0030912740205630922,-0.007611152360156032,0.01580675738104348,-0.03246979693720215
num_Combustion_Duration,-0.024525997873824396,-0.010747441234643388,0.007170282407465604,0.05821601584553662,-0.01242106435044079,0.014941364108556036,0.038727318122898285,-0.0213982735948592,-0.02084776153729881,1.0,0.010747441234643397,0.020697890508902653,0.056600763853697535,0.005296313640746517,0.010301344280564844,-0.03125947332032482,0.031404372711434564,-0.04178913278049379,-0.02452599787382439,-0.010747441234643402,0.0071702824074656194,0.05821601584553657,-0.012421064350440787,0.014941364108556024,0.03872731812289833,-0.021398273594859192,-0.02084776153729882,1.0,0.010747441234643397,0.020697890508902653,0.056600763853697535,0.005296313640746517,0.010301344280564844,-0.03125947332032482,0.031404372711434564,-0.04178913278049379
