Generation,Best_Efficiency
1,54.041133333333356
2,54.04113333333335
3,54.26560000000006
4,54.265600000000056
5,54.27220000000004
6,54.286466666666726
7,54.288666666666714
8,54.290333333333386
9,54.29553333333339
10,54.296666666666724
11,54.296666666666724
12,54.29780000000005
13,54.29946666666672
14,54.300466666666715
15,54.31273333333337
16,54.312733333333384
17,54.31273333333337
18,54.31273333333338
19,54.3150666666667
20,54.31506666666671
