Generation,Best Efficiency
1,54.041133333333356
2,54.04113333333336
3,54.25553333333337
4,54.26100000000006
5,54.28880000000004
6,54.31486666666671
7,54.334333333333376
8,54.34120000000005
9,54.35380000000005
10,54.35380000000004
11,54.35380000000004
12,54.35713333333339
13,54.35713333333339
14,54.36120000000004
15,54.36120000000005
16,54.3692666666667
17,54.369266666666704
18,54.3692666666667
19,54.372733333333386
20,54.37273333333337
