,0
num_Engine_Load_Percent,55.73646891030885
num_Diesel_Energy_Share,41.15497383458858
num_Injection_Timing,-15.736358217401182
num_Fuel_Injection_Pressure,1188.3475449872878
num_EGR_Rate,20.606148743620487
num_Boost_Pressure,3.5
num_Intake_Temperature,341.2098317389009
num_Equivalence_Ratio,0.8493164496930806
num_Cylinder_Pressure_Peak,70.17054711046411
num_Combustion_Duration,34.569878820627636
num_Gasoline_Energy_Share,59.058307936898736
num_BSFC,238.66359138223922
num_NOx_Emissions,1.2132771378554055
num_Soot_Emissions,1.6960087658546292
num_CO_Emissions,0.42705963552821247
num_Combustion_Stability_Index,0.8742048447795069
num_Target_Score,9.519534357655779
cat_Engine_Load_Percent,22.098507108835168
cat_Diesel_Energy_Share,53.87420085272327
cat_Injection_Timing,-20.90207700234134
cat_Fuel_Injection_Pressure,1441.027697310893
cat_EGR_Rate,12.187427283917534
cat_Boost_Pressure,2.285352921552372
cat_Intake_Temperature,333.21255047654194
cat_Equivalence_Ratio,1.0734306979953336
cat_Cylinder_Pressure_Peak,105.77140852791446
cat_Combustion_Duration,30.05411787344514
cat_Gasoline_Energy_Share,45.996863351510854
cat_BSFC,240.32427980719203
cat_NOx_Emissions,0.6141010019775764
cat_Soot_Emissions,2.4290269037054295
cat_CO_Emissions,0.5570543006448628
cat_Gross_Indicated_Thermal_Efficiency,54.86761056958448
cat_Combustion_Stability_Index,0.8246563945894579
cat_Target_Score,9.89005490664075
num_Combustion_Mode_Homogeneous,0.5583163470202751
num_Combustion_Mode_RCCI,0.5407368315333714
cat_Combustion_Mode_Homogeneous,0.4564965308500839
cat_Combustion_Mode_RCCI,0.7823462917515653
cat_Target_Category_High,0.696862092896598
cat_Target_Category_Low,0.6043814778567131
cat_Target_Category_Moderate,0.7591586299406479
